:Id;:ImageName;:Caption;:Log.CreatedBy;:Log.CreatedAt;:Log.LastModBy;:Log.LastModAt;SalesPriceTypeNo;Designation <de>;Designation <en>;Designation <pl>;Designation <cs>;Designation <da>;Designation <es>;Designation <fi>;Designation <fr>;Designation <it>;Designation <nl>;Designation <no>;Designation <sv>;Designation <tr>;:Subtype
7C2AD2D3-B826-4B5C-9F9A-A70AC9D846B4;Lookup.SalesPriceTypes;Lookup.SalesPriceTypes VK0;KFZTEILE24\AdminLimex;2017-05-18 14:30:35.850;KFZTEILE24\AdminLimex;2017-05-18 14:30:35.850;VK0;Verkaufsbasispreis;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
93953BC4-16BE-4D9B-84FB-0702FE3857ED;Lookup.SalesPriceTypes;Lookup.SalesPriceTypes VK1;KFZTEILE24\AdminLimex;2017-05-18 14:30:35.850;KFZTEILE24\AdminLimex;2017-05-18 14:30:35.850;VK1;Verkaufspreis Kundenrabattstufe 1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
46391322-E782-461A-86B8-FEC6617E79CD;Lookup.SalesPriceTypes;Lookup.SalesPriceTypes VK10;KFZTEILE24\AdminLimex;2017-05-18 14:30:35.850;KFZTEILE24\AdminLimex;2017-05-18 14:30:35.850;VK10;Verkaufspreis Kundenrabattstufe 10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
7A9256CC-0597-4723-823E-0A04CE9D9299;Lookup.SalesPriceTypes;Lookup.SalesPriceTypes VK2;KFZTEILE24\AdminLimex;2017-05-18 14:30:35.850;KFZTEILE24\AdminLimex;2017-05-18 14:30:35.850;VK2;Verkaufspreis Kundenrabattstufe 2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
5867252C-6F34-4A9A-A8B2-A96EDE7649D6;Lookup.SalesPriceTypes;Lookup.SalesPriceTypes VK3;KFZTEILE24\AdminLimex;2017-05-18 14:30:35.850;KFZTEILE24\AdminLimex;2017-05-18 14:30:35.850;VK3;Verkaufspreis Kundenrabattstufe 3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
6276B749-BF99-4F9F-9699-CC3D257DB097;Lookup.SalesPriceTypes;Lookup.SalesPriceTypes VK4;KFZTEILE24\AdminLimex;2017-05-18 14:30:35.850;KFZTEILE24\AdminLimex;2017-05-18 14:30:35.850;VK4;Verkaufspreis Kundenrabattstufe 4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
C3470FA5-0B35-4376-BD61-E4B76629D7D3;Lookup.SalesPriceTypes;Lookup.SalesPriceTypes VK5;KFZTEILE24\AdminLimex;2017-05-18 14:30:35.850;KFZTEILE24\AdminLimex;2017-05-18 14:30:35.850;VK5;Verkaufspreis Kundenrabattstufe 5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
28A10BC6-F869-41C8-9F9A-AE7CE1893CD2;Lookup.SalesPriceTypes;Lookup.SalesPriceTypes VK6;KFZTEILE24\AdminLimex;2017-05-18 14:30:35.850;KFZTEILE24\AdminLimex;2017-05-18 14:30:35.850;VK6;Verkaufspreis Kundenrabattstufe 6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
8B897E0A-1874-46C8-AA6D-D6A50ABAAE3D;Lookup.SalesPriceTypes;Lookup.SalesPriceTypes VK7;KFZTEILE24\AdminLimex;2017-05-18 14:30:35.850;KFZTEILE24\AdminLimex;2017-05-18 14:30:35.850;VK7;Verkaufspreis Kundenrabattstufe 7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
56BF7B89-ED88-4D95-8536-62C41E6DBE42;Lookup.SalesPriceTypes;Lookup.SalesPriceTypes VK8;KFZTEILE24\AdminLimex;2017-05-18 14:30:35.850;KFZTEILE24\AdminLimex;2017-05-18 14:30:35.850;VK8;Verkaufspreis Kundenrabattstufe 8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
5DEFFF90-1DE2-4EA7-8EC1-4D84E7FC0C9B;Lookup.SalesPriceTypes;Lookup.SalesPriceTypes VK9;KFZTEILE24\AdminLimex;2017-05-18 14:30:35.850;KFZTEILE24\AdminLimex;2017-05-18 14:30:35.850;VK9;Verkaufspreis Kundenrabattstufe 9;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;
